day,title,format,platform,status
1,Top 10 mistakes beginners make in AI productivity,short,youtube,planned
2,How to start in AI productivity with zero budget,short,youtube,planned
3,3 tools that instantly improve your AI productivity workflow,short,youtube,planned
4,My honest AI productivity setup for 2026,short,youtube,planned
5,Beginner guide to consistency in AI productivity,short,youtube,planned
6,Fast wins in AI productivity you can apply today,short,youtube,planned
7,What nobody tells you about AI productivity,short,youtube,planned
8,How I would build from zero in AI productivity,short,youtube,planned
9,1-week challenge for improving in AI productivity,short,youtube,planned
10,Best habits for long-term growth in AI productivity,short,youtube,planned
